master_cpd_id	cpd_name	cpd_status	cpd_smiles
44554	C6-ceramide	probe	CCCCCCCCCCCCC\C=C\[C@@H](O)[C@H](CO)NC(=O)CCCCC
44580	topotecan	FDA	CC[C@@]1(O)C(=O)OCc2c1cc1-c3nc4ccc(O)c(CN(C)C)c4cc3Cn1c2=O
45093	N9-isopropylolomoucine	probe	CC(C)n1cnc2c(NCc3ccccc3)nc(NCCO)nc12
46792	importazole	probe	CC(Nc1nc(nc2ccccc12)N1CCCC1)c1ccccc1
48589	etoposide	FDA	COc1cc(cc(OC)c1O)[C@H]1[C@@H]2[C@H](COC2=O)[C@H](O[C@@H]2O[C@@H]3CO[C@@H](C)O[C@H]3[C@H](O)[C@H]2O)c2cc3OCOc3cc12
50131	PRIMA-1	probe	OCC1(CO)N2CCC(CC2)C1=O
50134	tanespimycin	clinical	CO[C@H]1C[C@H](C)CC2=C(NCC=C)C(=O)C=C(NC(=O)\C(C)=C\C=C/[C@H](OC)[C@@H](OC(N)=O)\C(C)=C\[C@H](C)[C@H]1O)C2=O
50140	blebbistatin	probe	Cc1ccc2N=C3N(CCC3(O)C(=O)c2c1)c1ccccc1
50163	cytochalasin B	probe	C[C@H]1[C@H]2[C@H](Cc3ccccc3)NC(=O)[C@]22OC(=O)\C=C\[C@H](O)CCC[C@@H](C)C\C=C\[C@H]2[C@H](O)C1=C
50715	NSC95397	probe	OCCSC1=C(SCCO)C(=O)c2ccccc2C1=O
50727	manumycin A	probe	CCCC[C@@H](C)\C=C(C)\C=C(/C)C(=O)NC1=C[C@@](O)(\C=C\C=C\C=C\C(=O)NC2C(=O)CCC2=O)[C@@H]2O[C@@H]2C1=O
50732	mitomycin	FDA	CO[C@]12[C@H]3N[C@H]3CN1C1=C([C@H]2COC(N)=O)C(=O)C(N)=C(C)C1=O
50737	tacrolimus	FDA	CO[C@@H]1C[C@@H](CC[C@H]1O)\C=C(/C)[C@H]1OC(=O)[C@@H]2CCCCN2C(=O)C(=O)[C@]2(O)O[C@@H]([C@H](C[C@H]2C)OC)[C@H](C[C@@H](C)C\C(C)=C\[C@@H](CC=C)C(=O)C[C@H](O)[C@H]1C)OC
50747	pifithrin-alpha	probe	Cc1ccc(cc1)C(=O)Cn1c2CCCCc2sc1=N
50753	SB-431542	probe	NC(=O)c1ccc(cc1)-c1nc(c([nH]1)-c1ccccn1)-c1ccc2OCOc2c1
50769	staurosporine	probe	CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4CNC(=O)c4c4c5ccccc5n2c4c13
52123	SB-225002	probe	Oc1cc(ccc1NC(=O)Nc1ccccc1Br)[N+]([O-])=O
52133	PD 153035	probe	COc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OC
52430	cerulenin	probe	C\C=C\C\C=C\CCC(=O)[C@H]1O[C@H]1C(N)=O
52576	purmorphamine	probe	C1CCC(CC1)n1cnc2c(Nc3ccc(cc3)N3CCOCC3)nc(Oc3cccc4ccccc34)nc12
52582	GSK-3 inhibitor IX	probe	O\N=C1/C(Nc2ccccc12)=C1/C(=O)Nc2cc(Br)ccc12
52882	dasatinib	FDA	Cc1nc(Nc2ncc(s2)C(=O)Nc2c(C)cccc2Cl)cc(n1)N1CCN(CCO)CC1
52926	gefitinib	FDA	COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1
52928	erlotinib	FDA	COCCOc1cc2ncnc(Nc3cccc(c3)C#C)c2cc1OCCOC
53556	BRD-K94991378	probe	COCCOC(=O)N1C(=O)[C@]2([C@@H]([C@@H]3N([C@@H]2c2ccccc2OCCO)[C@H]([C@H](OC3=O)c2ccccc2)c2ccccc2)C(=O)NCC=C)c2cc(ccc12)C#CCC(C(=O)OC)C(=O)OC
53705	BIX-01294	probe	COc1cc2nc(nc(NC3CCN(Cc4ccccc4)CC3)c2cc1OC)N1CCCN(C)CC1
54200	tacedinaline	probe	CC(=O)Nc1ccc(cc1)C(=O)Nc1ccccc1N
54210	LBH-589	clinical	Cc1[nH]c2ccccc2c1CCNCc1ccc(\C=C\C(=O)NO)cc1
55307	IC-87114	probe	Cc1ccccc1-n1c(Cn2cnc3c(N)ncnc23)nc2cccc(C)c2c1=O
55512	ciclosporin	FDA	CCC1NC(=O)C([C@H](O)[C@H](C)C\C=C\C)N(C)C(=O)C(C(C)C)N(C)C(=O)C(CC(C)C)N(C)C(=O)C(CC(C)C)N(C)C(=O)[C@@H](C)NC(=O)C(C)NC(=O)C(CC(C)C)N(C)C(=O)C(NC(=O)C(CC(C)C)N(C)C(=O)CN(C)C1=O)C(C)C
56554	vorinostat	FDA	ONC(=O)CCCCCCC(=O)Nc1ccccc1
56703	sirolimus	FDA	CO[C@@H]1C[C@H](C[C@@H](C)[C@@H]2CC(=O)[C@H](C)\C=C(C)\[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)\C=C\C=C\C=C(C)\[C@H](C[C@@H]3CC[C@@H](C)[C@@](O)(O3)C(=O)C(=O)N3CCCC[C@H]3C(=O)O2)OC)CC[C@H]1O
58339	KU-55933	probe	O=c1cc(oc(c1)-c1cccc2Sc3ccccc3Sc12)N1CCOCC1
58442	sitagliptin	FDA	N[C@@H](CC(=O)N1CCn2c(C1)nnc2C(F)(F)F)Cc1cc(F)c(F)cc1F
58455	AM-580	probe	CC1(C)CCC(C)(C)c2cc(ccc12)C(=O)Nc1ccc(cc1)C(O)=O
58472	PDMP	probe	CCCCCCCCCC(=O)N[C@H](CN1CCOCC1)[C@H](O)c1ccccc1
58566	BRD-K71935468	probe	COC(=O)C(CC#Cc1ccc2NC(=O)[C@@]3([C@H]([C@H]4N([C@H]3c3ccccc3OCCO)[C@@H]([C@@H](OC4=O)c3ccccc3)c3ccccc3)C(=O)N3CCN(CC3)c3ncccn3)c2c1)C(=O)OC
58948	MG-132	probe	CC(C)C[C@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)OCc1ccccc1)C=O
60218	entinostat	clinical	Nc1ccccc1NC(=O)c1ccc(CNC(=O)OCc2cccnc2)cc1
60225	belinostat	clinical	ONC(=O)\C=C\c1cccc(c1)S(=O)(=O)Nc1ccccc1
60679	BEC	probe	N[C@H](CSCCB(O)O)C(O)=O
61097	apicidin	probe	CC[C@@H](C)[C@@H]1NC(=O)[C@H](Cc2cn(OC)c3ccccc23)NC(=O)[C@H](CCCCCC(=O)CC)NC(=O)[C@H]2CCCCN2C1=O
61674	Merck60	probe	CC(=O)Nc1ccc(cc1)C(=O)Nc1cc(ccc1N)-c1cccs1
61724	BRD-A94377914	probe	CN1CCCCC1NC(=O)[C@H](CCCCCC(C)=O)C(=O)Nc1nc(cs1)-c1ccccc1
61775	FGIN-1-27	probe	CCCCCCN(CCCCCC)C(=O)Cc1c([nH]c2ccccc12)-c1ccc(F)cc1
62111	compound 1B	probe	CCN(CC)c1ccc(cc1[N+]([O-])=O)C1=NNC(=O)CC1C
62602	vincristine	FDA	CC[C@]1(O)C[C@@H]2CN(C1)CCc1c([nH]c3ccccc13)[C@@](C2)(C(=O)OC)c1cc2c(cc1OC)N(C=O)[C@@H]1[C@]22CCN3CC=C[C@](CC)([C@@H]23)[C@@H](OC(C)=O)[C@]1(O)C(=O)OC
62690	cytarabine hydrochloride	FDA	Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O)c(=O)n1
63349	itraconazole	FDA	CCC(C)n1ncn(-c2ccc(cc2)N2CCN(CC2)c2ccc(OCC3COC(Cn4cncn4)(O3)c3ccc(Cl)cc3Cl)cc2)c1=O
63578	erastin	probe	CCOc1ccccc1-n1c(=O)c2ccccc2nc1C(C)N1CCN(CC1)C(=O)COc1ccc(Cl)cc1
96171	ML031	probe	Cc1cc(C(=O)CN2C(=O)CCC2=O)c(C)n1Cc1ccccc1
100490	CIL56	probe	ON=C1c2cc(ccc2-c2ccc(cc12)S(=O)(=O)N1CCCCC1)S(=O)(=O)N1CCCCC1
102193	FQI-1	probe	CCOc1ccccc1C1CC(=O)Nc2cc3OCOc3cc12
119769	BRD-K92856060	probe	COc1ccc(cc1[N+]([O-])=O)S(=O)(=O)N(C(C)=O)c1ccc(OC(C)=O)c2ccccc12
122255	B02	probe	O=c1n(Cc2ccccc2)c(\C=C\c2cccnc2)nc2ccccc12
142931	BRD-K45681478	probe	ClC1=C(NCC=C)C(=O)c2ccccc2C1=O
153820	ML050	probe	Brc1cc2OCOc2cc1C1Nc2ccccc2C2C=CCC12
154846	ML162	probe	COc1ccc(cc1Cl)N(C(C(=O)NCCc1ccccc1)c1cccs1)C(=O)CCl
176181	CIL41	probe	N=C(NOC(=O)C12CC3CC(CC(C3)C1)C2)c1ccccc1
182395	NSC30930	probe	OC(=O)c1cc2cc(OCc3ccccc3)ccc2[nH]1
183526	CIL70	probe	Clc1ccc(CC(=N)NOC(=O)c2cccc3ccccc23)cc1
185987	MI-1	probe	CC1(C)CN=C(S1)N1CCN(CC1)c1ncnc2sc3CCCCc3c12
199337	DBeQ	probe	C(Nc1nc(NCc2ccccc2)c2ccccc2n1)c1ccccc1
215497	Mdivi-1	probe	COc1cc(c(Cl)cc1Cl)-n1c(=S)[nH]c2ccccc2c1=O
255961	ML083	probe	COc1ccc(cc1)S(=O)(=O)N1CCN(CC1)S(=O)(=O)c1ccc2OCCOc2c1
267119	CID-5951923	probe	CN(C1CCS(=O)(=O)C1)C(=O)COC(=O)\C=C\c1cccc(c1)[N+]([O-])=O
272805	IU1	probe	Cc1cc(C(=O)CN2CCCC2)c(C)n1-c1ccc(F)cc1
277354	dexamethasone	FDA	CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO
290356	ML311	probe	CCN1CCN(CC1)C(c1ccc(cc1)C(F)(F)F)c1ccc2cccnc2c1O
340501	VX-680	clinical	CN1CCN(CC1)c1cc(Nc2cc(C)[nH]n2)nc(Sc2ccc(NC(=O)C3CC3)cc2)n1
345041	imatinib	FDA	CN1CCN(Cc2ccc(cc2)C(=O)Nc2ccc(C)c(Nc3nccc(n3)-c3cccnc3)c2)CC1
345712	O-6-benzylguanine	clinical	Nc1nc(OCc2ccccc2)c2[nH]cnc2n1
347775	decitabine	FDA	Nc1ncn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)n1
347812	CHIR-99021	probe	Cc1c[nH]c(n1)-c1cnc(NCCNc2ccc(cn2)C#N)nc1-c1ccc(Cl)cc1Cl
347813	BI-2536	clinical	CC[C@H]1N(C2CCCC2)c2nc(Nc3ccc(cc3OC)C(=O)NC3CCN(C)CC3)ncc2N(C)C1=O
348633	BRD-K61166597	probe	Nc1ccc(cc1NC(=O)c1ccc(cc1)C(=O)NCCc1ccncc1)-c1cccs1
348990	axitinib	FDA	CNC(=O)c1ccccc1Sc1ccc2c(\C=C\c3ccccn3)n[nH]c2c1
348991	selumetinib	clinical	Cn1cnc2c(F)c(Nc3ccc(Br)cc3Cl)c(cc12)C(=O)NOCCO
348992	NVP-BEZ235	clinical	Cn1c2cnc3ccc(cc3c2n(-c2ccc(cc2)C(C)(C)C#N)c1=O)-c1cnc2ccccc2c1
348997	GW-843682X	probe	COc1cc2ncn(-c3cc(OCc4ccccc4C(F)(F)F)c(s3)C(N)=O)c2cc1OC
349002	vandetanib	FDA	COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCC1CCN(C)CC1
349006	sorafenib	FDA	CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(c3)C(F)(F)F)cc2)ccn1
350548	ML029	probe	Cc1cc2nc(NCCCO)n(CC(=O)c3cc(c(O)c(c3)C(C)(C)C)C(C)(C)C)c2cc1C
351043	temozolomide	FDA	CN1N=Nc2c(ncn2C1=O)C(=O)N
362063	QW-BI-011	probe	COC(=O)c1ccc2n(CCCc3ccccc3)c(NC(=O)c3ccccc3)nc2c1
362207	BRD-K90370028	probe	CC(=O)N[C@@H]1C\C=C\CCC(=O)N[C@@H](COC1=O)c1ccccc1
362338	SNX-2112	probe	CC1(C)Cc2c(c(nn2-c2ccc(C(N)=O)c(N[C@H]3CC[C@H](O)CC3)c2)C(F)(F)F)C(=O)C1
362342	navitoclax	clinical	CC1(C)CCC(=C(CN2CCN(CC2)c2ccc(cc2)C(=O)NS(=O)(=O)c2ccc(N[C@H](CCN3CCOCC3)CSc3ccccc3)c(c2)S(=O)(=O)C(F)(F)F)C1)c1ccc(Cl)cc1
374747	bexarotene	FDA	Cc1cc2c(cc1C(=C)c1ccc(cc1)C(O)=O)C(C)(C)CCC2(C)C
374749	nilotinib	FDA	Cc1cn(cn1)-c1cc(NC(=O)c2ccc(C)c(Nc3nccc(n3)-c3cccnc3)c2)cc(c1)C(F)(F)F
374750	sunitinib	FDA	CCN(CC)CCNC(=O)c1c(C)[nH]c(\C=C2/C(=O)Nc3ccc(F)cc23)c1C
374755	bendamustine	FDA	Cn1c(CCCC(O)=O)nc2cc(ccc12)N(CCCl)CCCl
375219	omacetaxine mepesuccinate	FDA	COC(=O)C[C@](O)(CCCC(C)(C)O)C(=O)O[C@H]1[C@H]2c3cc4OCOc4cc3CCN3CCC[C@]23C=C1OC
375256	CD-437	probe	OC(=O)c1ccc2cc(ccc2c1)-c1ccc(O)c(c1)C12CC3CC(CC(C3)C1)C2
375264	SCH-79797	probe	CC(C)c1ccc(Cn2ccc3c2ccc2nc(NC4CC4)nc(N)c32)cc1
375354	LE-135	probe	CN1c2cc3c(cc2N=C(c2ccc(cc2)C(O)=O)c2ccccc12)C(C)(C)CCC3(C)C
375366	SKI-II	probe	Oc1ccc(Nc2nc(cs2)-c2ccc(Cl)cc2)cc1
375390	CI-976	probe	CCCCCCCCCCC(C)(C)C(=O)Nc1c(OC)cc(OC)cc1OC
375395	Platin	FDA	N[Pt](N)(Cl)Cl
375435	necrostatin-1	probe	CN1C(=S)NC(Cc2c[nH]c3ccccc23)C1=O
375447	GW-405833	probe	COc1ccc2n(C(=O)c3cccc(Cl)c3Cl)c(C)c(CCN3CCOCC3)c2c1
375487	AC55649	probe	CCCCCCCCc1ccc(cc1)-c1ccc(cc1)C(O)=O
375492	RITA	probe	OCc1ccc(s1)-c1ccc(o1)-c1ccc(CO)s1
375496	LY-2183240	probe	CN(C)C(=O)n1nnnc1Cc1ccc(cc1)-c1ccccc1
375560	Ki8751	probe	COc1cc2nccc(Oc3ccc(NC(=O)Nc4ccc(F)cc4F)c(F)c3)c2cc1OC
375562	CD-1530	probe	OC(=O)c1ccc(cc1)-c1ccc2cc(c(O)cc2c1)C12CC3CC(CC(C3)C1)C2
375564	TPCA-1	probe	NC(=O)Nc1sc(cc1C(N)=O)-c1ccc(F)cc1
375582	oxaliplatin	FDA	O=C1O[Pt]2(NC3CCCCC3N2)OC1=O
375594	NSC632839	probe	Cc1ccc(C=C2CNCC(=Cc3ccc(C)cc3)C2=O)cc1
375596	pifithrin-mu	probe	NS(=O)(=O)C#Cc1ccccc1
375637	SN-38	probe	CCc1c2Cn3c(cc4c(COC(=O)C4(O)CC)c3=O)-c2nc2ccc(O)cc12
376307	BRD-K80183349	probe	CC(=O)N1CCC(CC1)C(=O)Nc1cc(ccc1N)-c1cccs1
376693	BRD-K66532283	probe	Nc1ccc(cc1NC(=O)C1=CCCC1)-c1cccs1
377381	MK-2206	clinical	NC1(CCC1)c1ccc(cc1)-c1nc2ccn3c(n[nH]c3=O)c2cc1-c1ccccc1
385240	triazolothiadiazine	probe	COc1ccc(OC)c(c1)-c1nnc2SCC(=Nn12)c1ccc(OC)c(OC)c1
387472	BRD-K66453893	GE-active	C[C@@H](CO)N1C[C@H](C)[C@H](CN(C)S(=O)(=O)c2ccc(Cl)cc2)Oc2ccc(NC(=O)CCC(F)(F)F)cc2CC1=O
389297	BRD-K11533227	probe	CC(=O)NC1CCN(CC1)C(=O)Nc1cc(ccc1N)-c1cccs1
397964	BRD-K27224038	GE-active	C[C@@H](CO)N1C[C@H](C)[C@@H](CN(C)C(=O)C2CCOCC2)Oc2ncc(cc2C1=O)C#CC1(O)CCCC1
401251	BRD-K33514849	probe	C[C@H](CO)N1C[C@@H](C)[C@H](CN(C)C(=O)Nc2ccc3OCOc3c2)Oc2cc(ccc2S1(=O)=O)C#Cc1ccncc1
402775	BRD-K14844214	GE-active	CC(C)CC#Cc1ccc2c(O[C@@H](CN(C)C(=O)c3cnccn3)[C@H](C)CN([C@H](C)CO)S2(=O)=O)c1
404070	BRD1835	probe	C[C@@H](CO)N1C[C@H](C)[C@@H](CN(C)Cc2ccc(cc2)C(O)=O)Oc2cc(ccc2S1(=O)=O)C#CCC1CCCC1
404452	BRD-K41597374	GE-active	C[C@H](CO)N1C[C@H](C)[C@H](CN(C)C(=O)Nc2cc(F)ccc2F)Oc2cc(ccc2S1(=O)=O)C#CC1CCCC1
404566	BRD-K63431240	probe	C[C@@H](CO)N1C[C@H](C)[C@@H](CN(C)C(=O)Nc2ccc3OCOc3c2)Oc2cc(ccc2S1(=O)=O)C#Cc1ccncc1
410270	BRD-K13999467	GE-active	C[C@@H](CO)N1C[C@H](C)[C@H](CN(C)C(=O)Cc2ccncc2)Oc2cc(ccc2S1(=O)=O)C#Cc1ccccc1F
410703	BRD-K96970199	GE-active	C\C=C\c1ccc2c(O[C@@H](CN(C)C(=O)c3ccccc3)[C@@H](C)CN([C@@H](C)CO)S2(=O)=O)c1
411714	brefeldin A	probe	CC1CCC\C=C/C2CC(O)CC2C(O)\C=C/C(=O)O1
411716	AGK-2	probe	Clc1ccc(Cl)c(c1)-c1ccc(\C=C(/C#N)C(=O)Nc2cccc3ncccc23)o1
411717	L-685458	probe	CC(C)C[C@H](NC(=O)[C@@H](C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C)Cc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)C(N)=O
411719	PF-750	probe	O=C(Nc1ccccc1)N1CCC(Cc2cnc3ccccc3c2)CC1
411720	triptolide	clinical	CC(C)[C@]12O[C@H]1[C@@H]1O[C@]11[C@]3(O[C@H]3CC3C4=C(CC[C@]13C)C(=O)OC4)[C@@H]2O
411722	nutlin-3	clinical	COc1ccc(C2=NC(C(N2C(=O)N2CCNC(=O)C2)c2ccc(Cl)cc2)c2ccc(Cl)cc2)c(OC(C)C)c1
411724	AA-COCF3	probe	CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCC(=O)C(F)(F)F
411726	16-beta-bromoandrosterone	probe	C[C@]12CC[C@H]3[C@@H](CC[C@H]4C[C@H](O)CC[C@]34C)[C@@H]1C[C@H](Br)C2=O
411727	PRL-3 inhibitor I	probe	Brc1ccc(OCc2ccccc2Br)c(\C=C2\SC(=S)NC2=O)c1
411731	SID 26681509	probe	CCc1ccccc1NC(=O)CSC(=O)NNC(=O)[C@@H](Cc1c[nH]c2ccccc12)NC(=O)OC(C)(C)C
411733	neuronal differentiation inducer III	probe	O=C(NC1CC1)c1cc(on1)-c1cccs1
411734	NSC 74859	probe	Cc1ccc(cc1)S(=O)(=O)OCC(=O)Nc1ccc(C(O)=O)c(O)c1
411737	bortezomib	FDA	CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c1cnccn1)B(O)O
411738	ABT-737	clinical	CN(C)CC[C@H](CSc1ccccc1)Nc1ccc(cc1[N+]([O-])=O)S(=O)(=O)NC(=O)c1ccc(cc1)N1CCN(Cc2ccccc2-c2ccc(Cl)cc2)CC1
411739	zebularine	probe	OC[C@H]1O[C@H](C(O)[C@H]1O)n1cccnc1=O
411742	PI-103	probe	Oc1cccc(c1)-c1nc(N2CCOCC2)c2oc3ncccc3c2n1
411749	tubastatin A	probe	CN1CCc2c(C1)c1ccccc1n2Cc1ccc(cc1)C(=O)NO
411770	SR-II-138A	probe	CON(C)C(=O)[C@H]1[C@@H](O)[C@@]2(O)c3c(O[C@]2([C@@H]1c1ccccc1)c1ccc(OC)cc1)cc(OC)cc3OC
411774	neopeltolide	probe	CCC[C@H]1C[C@H](C[C@H](C)C[C@@H]2C[C@H](C[C@H](CC(=O)O1)O2)OC(=O)\C=C/CCc1coc(\C=C/CNC(=O)OC)n1)OC
411792	parthenolide	probe	C\C1=C\CC[C@@]2(C)O[C@@H]2[C@H]2OC(=O)C(=C)[C@@H]2CC1
411805	Compound 7d-cis	probe	CCOC(=O)\C=C/n1nnc(n1)-c1cccc(Cl)c1
411808	TG-101348	clinical	Cc1cnc(Nc2ccc(OCCN3CCCC3)cc2)nc1Nc1cccc(c1)S(=O)(=O)NC(C)(C)C
411809	pevonedistat	clinical	NS(=O)(=O)OC[C@@H]1C[C@H](C[C@@H]1O)n1ccc2c(N[C@H]3CCc4ccccc34)ncnc12
411814	AZD7545	probe	CN(C)C(=O)c1ccc(cc1)S(=O)(=O)c1ccc(NC(=O)[C@@](C)(O)C(F)(F)F)c(Cl)c1
411815	VER-155008	probe	Nc1ncnc2n([C@@H]3O[C@H](COCc4ccc(cc4)C#N)[C@@H](O)[C@H]3O)c(NCc3ccc(Cl)c(Cl)c3)nc12
411816	ML203	probe	Nc1cccc(c1)S(=O)(=O)N1CCCN(CC1)S(=O)(=O)c1ccc2OCCOc2c1
411820	SRT-1720	probe	O=C(Nc1cc(CN2CCNCC2)cc(c1)-c1nc2ccccc2[nH]1)c1cnc2ccccc2n1
411824	CAY10594	probe	O=C(NCCN1CCC2(CC1)N(CNC2=O)c1ccccc1)c1ccc2ccccc2c1
411827	Compound 1541A	probe	Oc1cccc2cc(C(=O)Nc3cccc(c3)-c3cn4ccccc4n3)c(=O)oc12
411831	RG-108	probe	OC(=O)[C@H](Cc1c[nH]c2ccccc12)N1C(=O)c2ccccc2C1=O
411832	PAC-1	probe	Oc1c(CC=C)cccc1\C=N\NC(=O)CN1CCN(Cc2ccccc2)CC1
411833	pluripotin	probe	CN1C(=O)N(Cc2cnc(Nc3cc(C)nn3C)nc12)c1cc(NC(=O)c2cccc(c2)C(F)(F)F)ccc1C
411843	GMX-1778	clinical	Clc1ccc(OCCCCCC\N=C(\NC#N)Nc2ccncc2)cc1
